arm,seed,mean_eval_return,success_rate,bridge,full_rank,density
exact_dynamics_exact_reward,0,4.939932835078064,1.0,,,
exact_dynamics_exact_reward,1,5.343792637069887,1.0,,,
exact_dynamics_exact_reward,2,5.096144994308066,1.0,,,
exact_dynamics_exact_reward,3,5.476688620950366,1.0,,,
exact_dynamics_exact_reward,4,5.748103006070401,1.0,,,
exact_dynamics_exact_reward,5,5.42132211975797,1.0,,,
exact_dynamics_exact_reward,6,5.1347622113894404,1.0,,,
exact_dynamics_exact_reward,7,5.02344512640607,1.0,,,
random_policy,0,-24.459443133480136,0.0,,,
random_policy,1,-18.769867193073893,0.0,,,
random_policy,2,-19.846355698747317,0.0,,,
random_policy,3,-24.342629497314505,0.0,,,
random_policy,4,-18.520457822931487,0.0,,,
random_policy,5,-22.08066206377156,0.0,,,
random_policy,6,-19.85389924236396,0.0,,,
random_policy,7,-19.333487492720643,0.0,,,
b1_r1_d8,0,1.5096953626096659,0.0,True,True,8
b1_r1_d8,1,-5.414967745885669,0.0,True,True,8
b1_r1_d8,2,-3.0124475318535278,0.0,True,True,8
b1_r1_d8,3,-6.792902999192254,0.0,True,True,8
b1_r1_d8,4,-6.645988950390823,0.5,True,True,8
b1_r1_d8,5,0.477433510569404,0.0,True,True,8
b1_r1_d8,6,0.018816193794713887,0.0,True,True,8
b1_r1_d8,7,-2.3006475255520695,0.0,True,True,8
exact_transition_learned_reward_zero_epistemic,0,4.1156638711802715,1.0,,,
exact_transition_learned_reward_zero_epistemic,1,3.3009998059581926,1.0,,,
exact_transition_learned_reward_zero_epistemic,2,2.209108996007541,1.0,,,
exact_transition_learned_reward_zero_epistemic,3,3.7839223979868306,1.0,,,
exact_transition_learned_reward_zero_epistemic,4,5.173490612062118,1.0,,,
exact_transition_learned_reward_zero_epistemic,5,3.1724287801114164,0.5,,,
exact_transition_learned_reward_zero_epistemic,6,3.828200536909892,1.0,,,
exact_transition_learned_reward_zero_epistemic,7,1.9256120582548917,0.25,,,
