rung,seed,model_sha256,mean_eval_return,success_rate,planner_candidate_transition_count,oracle_candidate_transition_count
learned_tsinf_penalty,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,1.5096953626096659,0.0,129024,0
learned_tsinf_no_penalty,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,1.47710574478424,0.0,129024,0
learned_mean_no_penalty,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,1.4687874852964733,0.0,129024,0
exact_target_learned_reward,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,3.536200823014098,1.0,129024,129024
exact_online_learned_reward,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,4.11566387118027,1.0,129024,129024
exact_online_oracle_reward,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,4.939932835078064,1.0,129024,129024
exact_raw,0,e44875007b29b7d0f052348d40f875146703af2ef33f106cbf220061897d6b9f,4.939932835078064,1.0,129024,129024
learned_tsinf_penalty,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,-5.414967745885669,0.0,129024,0
learned_tsinf_no_penalty,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,-5.300324713828886,0.0,129024,0
learned_mean_no_penalty,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,-7.093326696189486,0.0,129024,0
exact_target_learned_reward,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,2.517441792088073,0.75,129024,129024
exact_online_learned_reward,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,3.3009998059581935,1.0,129024,129024
exact_online_oracle_reward,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,5.343792637069887,1.0,129024,129024
exact_raw,1,f3f641699803f6130da85228b98755b7f4afafdc5ded91fa239bc9f8547feee3,5.343792637069887,1.0,129024,129024
learned_tsinf_penalty,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,-3.0124475318535278,0.0,129024,0
learned_tsinf_no_penalty,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,-2.755904073277903,0.0,129024,0
learned_mean_no_penalty,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,0.6161945189808584,0.0,129024,0
exact_target_learned_reward,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,2.227470289006028,1.0,129024,129024
exact_online_learned_reward,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,2.2091089960075423,1.0,129024,129024
exact_online_oracle_reward,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,5.096144994308066,1.0,129024,129024
exact_raw,2,088b340530e55fce82a74c64fe0f2585e80ba633860c1f04683a2f09d93b2e32,5.096144994308066,1.0,129024,129024
learned_tsinf_penalty,3,f2f418a430cb8bc4edef17166aae1c006f5353311c50c092e5560f678a61c228,-6.792902999192254,0.0,129024,0
learned_tsinf_no_penalty,3,f2f418a430cb8bc4edef17166aae1c006f5353311c50c092e5560f678a61c228,-6.6355288689924485,0.0,129024,0
learned_mean_no_penalty,3,f2f418a430cb8bc4edef17166aae1c006f5353311c50c092e5560f678a61c228,-10.492544369788266,0.0,129024,0
exact_target_learned_reward,3,f2f418a430cb8bc4edef17166aae1c006f5353311c50c092e5560f678a61c228,3.534627312667146,1.0,129024,129024
